,entity_id,name,category_code,status,country_code,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,Average_inevstment_time
163775,52290,Kid Care Years,web,0,USA,,,0,0,01/07/2008,01/07/2008,1,0,,,0,1,50.0
163783,52300,VPIsystems,software,1,USA,,,0,0,01/03/2005,29/03/2010,2,13000000,01/12/1998,01/02/2010,2,1,50.0
163805,5233,CitizenHawk,advertising,1,USA,,,0,0,12/05/2008,12/05/2008,1,3000000,01/01/2008,11/09/2013,5,4,50.0
163808,52332,Hallpass Media,games_video,1,CAN,,,0,0,01/01/2008,01/01/2008,1,2000000,01/01/2008,18/04/2011,2,1,50.0
163819,52343,The Sporting Blog,other,1,unknown,,,0,0,,,0,0,,,0,0,50.0
163822,52346,Wavii,web,1,USA,,,0,0,01/07/2010,01/07/2010,1,2000000,15/07/2011,26/04/2013,2,3,50.0
163824,52348,SmartCells,biotech,1,USA,,,0,0,17/06/2010,17/06/2010,1,4100000,02/12/2010,02/12/2010,1,2,50.0
163825,52349,Inside Network,web,1,unknown,,,0,0,,,0,0,01/09/2009,12/10/2012,2,2,50.0
163832,52356,Transparent IT Solutions,software,0,IND,,,0,0,01/01/2010,01/01/2010,1,0,01/01/2011,01/01/2011,1,2,50.0
163840,52365,Intucell,mobile,1,ISR,,,0,0,27/03/2010,31/01/2011,2,8500000,01/01/2011,23/01/2013,2,1,50.0
163842,52367,Saf-T-Net,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
163843,52368,VESystems,unknown,1,USA,,,0,0,,,0,0,,,0,0,50.0
163845,52370,Shenzhen Wireless Technology Development,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
163851,52378,Panvidea,games_video,1,USA,,,0,0,19/03/2010,19/03/2010,1,2700000,01/01/2010,15/08/2011,2,5,50.0
163852,52379,evalue,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
163855,52381,S1 Corporation,unknown,1,USA,,,0,0,,,0,0,01/01/2003,19/06/2012,2,18,50.0
163859,52385,PM Systems,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
